CENTRO COSTO;DEPARTAMENTO;PLANILLA;PERCEP;HOREXT;GRATIF;INCENT;PPYADE;CROM;TOTPER;SUBEMP;ISPT;IMSS;CAJAAHO;INFONAVIT;PREAHO;PREEMP;INTERGAS;OTRASRET;TOTAL
MMS;ADMINISTRACIONMMS;14;28,798.64;0.00;0.00;0.00;681.49;25,231.75;54,711.88;0.00;418.76;0.00;0.00;3,490.61;0.00;0.00;0.00;1,771.21;49,031.30
MMS;OTROS DIRECCION;1;2,215.28;0.00;0.00;0.00;59.26;1,885.46;4,160.00;0.00;35.70;0.00;0.00;0.00;0.00;0.00;0.00;20.00;4,104.30
CNS;;556;1,226,214.25;0.00;0.00;144,152.73;21,150.21;89,662.13;1,481,179.32;0.00;57,597.16;33,554.15;0.00;21,737.26;0.00;0.00;0.00;35,658.20;1,332,632.55
PNS;;148;325,685.79;0.00;0.00;27,619.63;6,103.78;0.00;359,409.20;0.00;12,886.54;8,733.97;0.00;10,265.98;0.00;0.00;0.00;28,286.12;299,236.59
TT1;;133;274,880.81;12,302.75;0.00;9,469.13;6,363.66;0.00;303,016.35;0.00;5,660.62;6,246.50;0.00;12,256.12;0.00;0.00;0.00;22,852.72;256,000.39
LAV;;64;136,155.53;6,055.72;0.00;9,650.83;3,111.15;0.00;154,973.23;0.00;3,938.38;2,949.17;0.00;7,420.40;0.00;0.00;0.00;10,435.30;130,229.98
SPM;;23;44,133.62;0.00;0.00;735.46;977.79;37,491.70;83,338.57;0.00;814.79;502.95;0.00;2,748.06;0.00;0.00;0.00;1,621.46;77,651.31
USC;;32;63,418.26;1,969.00;0.00;24,268.13;1,333.35;0.00;90,988.74;0.00;6,131.93;2,259.20;0.00;4,083.85;0.00;0.00;0.00;4,178.10;74,335.66
NS2;;513;1,286,656.31;18,419.42;0.00;6,693.15;42,840.00;0.00;1,354,608.88;0.00;57,869.71;34,372.78;0.00;27,011.50;0.00;0.00;0.00;116,572.90;1,118,781.99
PLC;;96;214,065.82;7,726.28;0.00;7,626.68;4,474.13;0.00;233,892.91;0.00;4,380.36;4,822.96;0.00;10,365.69;0.00;0.00;0.00;19,998.04;194,325.86
SB1;;45;92,976.34;8,670.40;0.00;15,785.30;1,659.28;0.00;119,091.32;0.00;4,545.44;2,720.10;0.00;1,517.11;0.00;0.00;0.00;9,411.96;100,896.71
AE1;;102;214,751.23;26,518.29;0.00;7,755.41;4,296.35;0.00;253,321.28;0.00;4,669.57;3,577.23;0.00;10,479.51;0.00;0.00;0.00;14,497.15;220,097.82
