CENTRO_COSTO;DEPARTAMENTO;PLANILLA;PERCEP;HOREXT;GRATIF;INCENT;PPYADE;CROM;TOTPER;SUBEMP;ISPT;IMSS;CAJAAHO;INFONAVIT;PREAHO;PREEMP;INTERGAS;OTRASRET;TOTAL
MMS;ADMINISTRACIONMMS;27;33,270.41;0.00;0.00;0.00;8,779.66;63,912.31;105,962.38;-83.81;1,778.25;780.87;0.00;0.00;0.00;0.00;0.00;5,020.43;98,466.64
MMS;COMPRAS;1;991.90;0.00;0.00;0.00;423.44;2,734.66;4,150.00;0.00;23.07;22.04;0.00;0.00;0.00;0.00;0.00;0.00;4,104.89
MMS;TR;1;991.90;0.00;0.00;0.00;423.44;6,816.66;8,232.00;0.00;23.07;22.00;0.00;0.00;0.00;0.00;0.00;197.20;7,989.73
SPM;;31;28,093.87;0.00;0.00;314.24;4,657.50;61,285.65;94,351.26;-181.81;24.45;621.51;0.00;0.00;0.00;0.00;0.00;6,222.89;87,664.22
USC;;40;41,987.42;1,115.94;0.00;27,878.18;10,060.35;0.00;81,041.89;-160.83;5,514.47;1,578.95;0.00;0.00;0.00;0.00;0.00;5,994.51;68,114.79
LAV;;128;118,518.08;12,641.70;0.00;36,102.54;20,619.33;0.00;187,881.65;-784.21;9,071.45;3,027.05;0.00;241.83;0.00;0.00;0.00;9,951.49;166,374.04
PLC;;118;113,125.58;5,445.80;0.00;24,723.58;16,638.78;0.00;159,933.74;-1,037.59;5,332.21;2,872.58;0.00;267.87;0.00;0.00;0.00;16,896.43;135,602.24
TT1;;325;267,870.73;18,227.18;0.00;80,028.97;35,768.71;0.00;401,895.59;-1,811.18;14,994.29;7,390.71;0.00;685.98;0.00;0.00;0.00;33,615.63;347,020.16
SB1;;97;94,427.71;4,833.31;0.00;25,905.03;11,988.75;0.00;137,154.80;-368.93;4,521.12;2,709.01;0.00;0.00;0.00;0.00;0.00;9,201.26;121,092.34
AE1;;89;81,877.53;1,620.57;0.00;17,620.73;10,522.50;0.00;111,641.33;-993.18;2,531.68;2,202.15;0.00;0.00;0.00;0.00;0.00;7,011.72;100,888.96
CNS;;623;649,878.78;73,930.84;0.00;0.00;32,341.11;266,505.86;1,020,385.19;-6,508.85;6,622.17;13,927.60;0.00;0.10;0.00;0.00;0.00;20,215.61;986,128.56
NS2;;1023;995,340.54;65,774.92;0.00;257,235.17;39,265.90;0.00;1,357,616.53;-5,961.43;45,371.39;27,811.77;0.03;0.00;0.00;0.00;0.00;79,499.45;1,210,895.32
PNS;;198;183,454.03;10,128.65;0.00;26,277.75;3,742.33;0.00;223,602.76;-1,140.83;6,472.81;4,737.48;0.00;0.00;0.00;0.00;0.00;11,312.87;202,220.43
PSS;;2;1,983.80;0.00;0.00;0.00;595.94;1,735.79;4,315.53;0.00;23.07;35.60;0.00;0.00;0.00;0.00;0.00;0.00;4,256.86
