|1|143,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|144,6,00000,0000,00,0000,00
|1.1|062,1
|1|145,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|146,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|161,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|202,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|211,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|269,6,01000,0000,00,0000,00
|1.2|30/06/2026
|1|291,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|307,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|314,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|321,6,01000,0000,00,0000,00
|1.2|02/07/2026
|1|347,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|381,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|477,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|522,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|530,6,00000,0647,03,0000,00
|1.1|062,1
|1.1|061,1
|1|533,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|543,6,00000,0000,00,0000,00
|1.1|062,1
|1|616,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|637,6,01000,0000,00,0000,00
|1.2|29/06/2026
|1|638,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|648,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|669,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|676,6,00000,0000,00,0000,00
|1.1|062,1
|1|681,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|830,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|839,6,00000,0000,00,0000,00
|1.1|062,1
|1.1|061,1
|1|892,6,00000,0000,00,0000,00
|1.1|062,1
