ID de usuario,Fecha/Hora,Dispositivo Nro.,Nombre del dispositivo,Tipo de registro
11,2024-06-10 05:52:31,1,1,0
11,2024-06-10 05:52:34,1,1,0
11,2024-06-10 10:01:15,1,1,0
11,2024-06-10 10:29:00,1,1,0
11,2024-06-10 16:03:10,1,1,0
11,2024-06-11 06:01:48,1,1,0
11,2024-06-11 10:00:41,1,1,0
11,2024-06-11 10:28:21,1,1,0
12,2024-06-10 06:18:11,1,1,0
12,2024-06-10 10:00:10,1,1,0
12,2024-06-10 10:30:14,1,1,0
12,2024-06-10 15:10:26,1,1,0
12,2024-06-11 06:04:50,1,1,0
12,2024-06-11 10:00:35,1,1,0
12,2024-06-11 10:29:12,1,1,0
12,2024-06-11 15:01:05,1,1,0
13,2024-06-10 07:16:01,1,1,0
13,2024-06-10 10:03:07,1,1,0
13,2024-06-10 10:30:36,1,1,0
13,2024-06-10 16:24:23,1,1,0
13,2024-06-11 07:01:58,1,1,0
13,2024-06-11 10:00:02,1,1,0
13,2024-06-11 10:33:11,1,1,0
15,2024-06-10 06:27:30,1,1,0
15,2024-06-10 10:01:55,1,1,0
15,2024-06-10 10:29:14,1,1,0
15,2024-06-10 15:05:31,1,1,0
15,2024-06-11 06:23:24,1,1,0
15,2024-06-11 10:00:56,1,1,0
15,2024-06-11 10:29:28,1,1,0
19,2024-06-10 06:42:42,1,1,0
19,2024-06-10 10:02:56,1,1,0
19,2024-06-10 10:29:09,1,1,0
19,2024-06-10 16:17:35,1,1,0
19,2024-06-11 06:35:25,1,1,0
19,2024-06-11 10:01:28,1,1,0
19,2024-06-11 10:28:02,1,1,0
23,2024-06-10 06:28:01,1,1,0
23,2024-06-10 10:17:57,1,1,0
23,2024-06-10 10:30:07,1,1,0
23,2024-06-11 06:02:10,1,1,0
23,2024-06-11 10:08:48,1,1,0
23,2024-06-11 10:33:19,1,1,0
24,2024-06-10 05:56:25,1,1,0
24,2024-06-10 10:02:20,1,1,0
24,2024-06-10 10:28:25,1,1,0
24,2024-06-10 15:06:23,1,1,0
24,2024-06-11 06:01:51,1,1,0
24,2024-06-11 10:00:28,1,1,0
24,2024-06-11 10:29:02,1,1,0
24,2024-06-11 15:02:13,1,1,0
25,2024-06-10 06:03:30,1,1,0
25,2024-06-10 10:01:37,1,1,0
25,2024-06-10 10:29:05,1,1,0
25,2024-06-10 15:02:00,1,1,0
25,2024-06-11 06:14:00,1,1,0
25,2024-06-11 10:01:16,1,1,0
25,2024-06-11 10:29:34,1,1,0
25,2024-06-11 15:01:45,1,1,0
58,2024-06-11 06:18:34,1,1,0
58,2024-06-11 10:00:20,1,1,0
58,2024-06-11 10:29:46,1,1,0
58,2024-06-11 15:01:59,1,1,0
80,2024-06-10 05:57:01,1,1,0
80,2024-06-10 10:03:03,1,1,0
80,2024-06-10 10:28:40,1,1,0
80,2024-06-10 15:01:10,1,1,0
80,2024-06-11 06:01:56,1,1,0
80,2024-06-11 10:01:04,1,1,0
80,2024-06-11 10:28:36,1,1,0
80,2024-06-11 15:01:00,1,1,0
89,2024-06-10 06:17:30,1,1,0
89,2024-06-10 10:01:46,1,1,0
89,2024-06-10 10:28:32,1,1,0
89,2024-06-10 15:00:18,1,1,0
89,2024-06-11 06:23:45,1,1,0
89,2024-06-11 10:00:07,1,1,0
89,2024-06-11 10:28:41,1,1,0
89,2024-06-11 15:00:08,1,1,0
105,2024-06-10 05:58:56,1,1,0
105,2024-06-10 10:00:51,1,1,0
105,2024-06-10 10:29:59,1,1,0
105,2024-06-10 15:02:42,1,1,0
105,2024-06-11 06:20:34,1,1,0
105,2024-06-11 10:01:10,1,1,0
105,2024-06-11 10:29:18,1,1,0
105,2024-06-11 15:04:21,1,1,0
112,2024-06-10 06:27:36,1,1,0
112,2024-06-10 10:01:25,1,1,0
112,2024-06-10 10:29:53,1,1,0
112,2024-06-10 15:02:07,1,1,0
112,2024-06-11 06:23:40,1,1,0
112,2024-06-11 10:00:46,1,1,0
112,2024-06-11 10:29:38,1,1,0
112,2024-06-11 15:03:29,1,1,0
116,2024-06-10 07:24:15,1,1,0
116,2024-06-10 10:11:23,1,1,0
116,2024-06-10 10:28:56,1,1,0
116,2024-06-10 16:03:05,1,1,0
116,2024-06-11 07:15:19,1,1,0
116,2024-06-11 10:01:35,1,1,0
116,2024-06-11 10:27:01,1,1,0
153,2024-06-10 06:02:33,1,1,0
153,2024-06-10 10:02:12,1,1,0
153,2024-06-10 10:30:46,1,1,0
153,2024-06-10 15:04:14,1,1,0
153,2024-06-11 06:05:01,1,1,0
153,2024-06-11 10:00:52,1,1,0
153,2024-06-11 10:29:42,1,1,0
153,2024-06-11 15:03:24,1,1,0
156,2024-06-11 06:04:57,1,1,0
156,2024-06-11 10:00:14,1,1,0
156,2024-06-11 10:29:07,1,1,0
156,2024-06-11 15:00:50,1,1,0
166,2024-06-11 07:02:29,1,1,0
166,2024-06-11 10:02:41,1,1,0
166,2024-06-11 10:28:46,1,1,0
266,2024-06-10 06:54:36,1,1,0
266,2024-06-10 09:59:45,1,1,0
266,2024-06-10 10:30:19,1,1,0
266,2024-06-10 16:18:12,1,1,0
266,2024-06-11 07:00:46,1,1,0
266,2024-06-11 09:58:57,1,1,0
266,2024-06-11 10:28:55,1,1,0
5449,2024-06-11 06:04:09,1,1,0
5449,2024-06-11 10:01:50,1,1,0
5449,2024-06-11 10:27:09,1,1,0
