Fecha,ID Dispositivo,Dispositivo,Grupo Usuario,Usuario,Evento
2019-07-14 19:34:49,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,1689,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 19:34:46,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,1689,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 19:33:33,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 19:33:30,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 09:52:34,542185233,FaceStation 2 542185233 (192.168.1.203),,,Biostar desconectado
2019-07-14 09:52:08,542185220,FaceStation 2 542185220 (192.168.1.202),,,Biostar desconectado
2019-07-14 09:51:39,542185216,FaceStation 2 542185216 (192.168.1.201),,,Biostar desconectado
2019-07-14 09:51:01,542185239,FaceStation 2 542185239 (192.168.1.200),,,Biostar desconectado
2019-07-14 09:50:59,542340159,FaceStation 2 542340159 (192.168.1.204),,,Biostar desconectado
2019-07-14 08:01:35,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,68200,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 08:01:32,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,68200,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 08:01:22,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,68118,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 08:00:24,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-14 08:00:21,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 19:57:55,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117623,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 19:44:57,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,68118,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 19:44:50,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 19:44:47,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:15:17,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,115220,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:15:14,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,115220,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:13:44,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,302,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:13:05,542185233,FaceStation 2 542185233 (192.168.1.203),All Users,343,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:12:43,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,279,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:12:39,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,117070,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:11:28,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,118937,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:04:28,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,444,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:04:25,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,444,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:04:23,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,65680,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:04:05,542185239,FaceStation 2 542185239 (192.168.1.200),All Users,117089,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:03:55,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,118422,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:03:52,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,119130,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:03:52,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,118422,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:03:33,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,310,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 17:00:25,542185233,FaceStation 2 542185233 (192.168.1.203),All Users,117735,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:54:36,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117623,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:40:03,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,68464,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:39:02,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,115390,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:37:20,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,117990,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:36:49,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,68983,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:36:42,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,118789,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:34:25,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,668,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:34:19,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,668,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:34:14,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,668,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:34:11,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,668,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:31:00,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,118156,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:29:36,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117173,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:28:36,542185233,FaceStation 2 542185233 (192.168.1.203),All Users,115777,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:27:02,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115020,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:25:58,542185233,FaceStation 2 542185233 (192.168.1.203),All Users,118073,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:25:46,542185233,FaceStation 2 542185233 (192.168.1.203),All Users,117382,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:25:42,542185233,FaceStation 2 542185233 (192.168.1.203),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:25:40,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,118039,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:25:36,542185233,FaceStation 2 542185233 (192.168.1.203),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:25:29,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,118901,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:25:24,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,118454,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:25:11,542185220,FaceStation 2 542185220 (192.168.1.202),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:25:01,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,649,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:24:56,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,68755,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:24:52,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,118073,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:24:44,542185216,FaceStation 2 542185216 (192.168.1.201),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:24:36,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,226,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:24:35,542185216,FaceStation 2 542185216 (192.168.1.201),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:24:32,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,226,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:24:28,542185216,FaceStation 2 542185216 (192.168.1.201),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:24:24,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,67208,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:24:23,542185239,FaceStation 2 542185239 (192.168.1.200),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:24:20,542185216,FaceStation 2 542185216 (192.168.1.201),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:24:12,542185239,FaceStation 2 542185239 (192.168.1.200),All Users,118073,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:24:10,542185216,FaceStation 2 542185216 (192.168.1.201),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:23:56,542185216,FaceStation 2 542185216 (192.168.1.201),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:23:49,542185239,FaceStation 2 542185239 (192.168.1.200),,,Autenticaciￃﾳn fallida (Timeout)
2019-07-13 16:22:41,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,63510,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-07-13 16:22:35,542185220,FaceStation 2 542185220 (192.168.1.202),,,Autenticaciￃﾳn fallida (Timeout)
