Date,Door,Device ID,Device,User Group,User,Event
2019-04-06 09:32:00,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:59,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:59,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:59,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:59,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:58,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:51,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:51,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:50,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:50,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:50,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:49,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:43,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:43,,542189346,FaceStation 2 542189346 (192.168.128.224),,,BioStar connected
2019-04-06 09:31:42,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:42,,542189843,FaceStation 2 542189843 (192.168.128.17),,,BioStar connected
2019-04-06 09:31:42,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:41,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:41,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:41,,542340160,FaceStation 2 542340160 (192.168.128.9),,,BioStar connected
2019-04-06 09:31:41,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,1(Administrator),User update succeeded
2019-04-06 09:31:41,,542189344,FaceStation 2 542189344 (192.168.128.16),,,BioStar connected
2019-04-06 09:31:40,,542340161,FaceStation 2 542340161 (192.168.128.8),,,BioStar connected
2019-04-06 09:31:40,,542189366,FaceStation 2 542189366 (192.168.128.22),,,BioStar connected
2019-04-06 09:31:35,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,93914,1:N authentication succeeded (Face)
2019-04-06 09:26:44,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,11811,1:N authentication succeeded (Face)
2019-04-06 09:26:10,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102944,1:N authentication succeeded (Face)
2019-04-06 09:25:53,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,101107,1:N authentication succeeded (Face)
2019-04-06 09:25:30,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,101446,1:N authentication succeeded (Face)
2019-04-06 09:25:15,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,2669,1:N authentication succeeded (Face)
