Fecha,ID Dispositivo,Dispositivo,Grupo Usuario,Usuario,Evento
2019-12-14 20:56:17,542185233,FaceStation 2 542185233 (192.168.1.203),,,Biostar conectado
2019-12-14 20:55:21,542185233,FaceStation 2 542185233 (192.168.1.203),,,Dispositivo Iniciado
2019-12-14 20:55:21,542185233,FaceStation 2 542185233 (192.168.1.203),,,Tamper Off
2019-12-14 20:55:20,542185233,FaceStation 2 542185233 (192.168.1.203),,,Red conectada
2019-12-14 20:53:39,542185233,FaceStation 2 542185233 (192.168.1.203),,,Dispositivo Iniciado
2019-12-14 20:53:39,542185233,FaceStation 2 542185233 (192.168.1.203),,,Tamper Off
2019-12-14 20:53:39,542185233,FaceStation 2 542185233 (192.168.1.203),,,Red conectada
2019-12-14 19:35:38,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117623,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 19:30:30,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,68118,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 19:30:20,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,1689,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 19:30:17,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,1689,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:49:32,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,302,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:39:32,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117445,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:39:29,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117445,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:39:13,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,668,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:39:09,542185220,FaceStation 2 542185220 (192.168.1.202),,,Autenticaciￃﾳn fallida (Timeout)
2019-12-14 16:38:58,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,668,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:38:45,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,343,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:38:39,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,117070,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-12-14 16:37:51,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,380,1:N Autenticaciￃﾳn exitosa (Rostro)
