Date,Device ID,Device,User Group,User,Event
08/07/2022 07:07,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
08/07/2022 07:07,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1218,1:N authentication succeeded (Face)
08/07/2022 07:07,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82308,1:N authentication succeeded (Face)
08/07/2022 01:49,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
08/07/2022 01:28,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
07/07/2022 23:25,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
07/07/2022 22:51,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82308,1:N authentication succeeded (Face)
07/07/2022 22:51,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82308,1:N authentication succeeded (Face)
07/07/2022 22:37,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1218,1:N authentication succeeded (Face)
07/07/2022 22:36,542361075,FaceStation 2 542361075 (192.168.5.220),,,Tamper off
07/07/2022 22:36,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device started
07/07/2022 22:36,542361075,FaceStation 2 542361075 (192.168.5.220),,,Network connected
07/07/2022 16:37,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
07/07/2022 16:36,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
07/07/2022 16:36,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82296,1:N authentication succeeded (Face)
07/07/2022 16:36,542361075,FaceStation 2 542361075 (192.168.5.220),,,Authentication failed (Timeout)
07/07/2022 16:35,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82297,1:N authentication succeeded (Face)
07/07/2022 16:35,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar disconnected
07/07/2022 11:41,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
07/07/2022 11:38,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
07/07/2022 11:18,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
07/07/2022 11:03,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
07/07/2022 11:02,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82309,1:N authentication succeeded (Face)
07/07/2022 10:31,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82296,1:N authentication succeeded (Face)
07/07/2022 10:31,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82309,1:N authentication succeeded (Face)
07/07/2022 10:29,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82312,1:N authentication succeeded (Face)
07/07/2022 10:09,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82312,1:N authentication succeeded (Face)
07/07/2022 10:02,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82297,1:N authentication succeeded (Face)
07/07/2022 10:02,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82296,1:N authentication succeeded (Face)
07/07/2022 09:32,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82297,1:N authentication succeeded (Face)
07/07/2022 08:00,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82275,1:N authentication succeeded (Face)
07/07/2022 07:54,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82283,1:N authentication succeeded (Face)
07/07/2022 07:30,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82309,1:N authentication succeeded (Face)
07/07/2022 07:21,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82308,1:N authentication succeeded (Face)
07/07/2022 07:15,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1(Administrator),User update succeeded
07/07/2022 07:15,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar connected
07/07/2022 07:14,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device Disconnection Detected
07/07/2022 07:09,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82297,1:N authentication succeeded (Face)
07/07/2022 07:07,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
07/07/2022 07:07,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1255,1:N authentication succeeded (Face)
07/07/2022 07:07,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82310,1:N authentication succeeded (Face)
07/07/2022 07:06,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1214,1:N authentication succeeded (Face)
07/07/2022 07:06,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82312,1:N authentication succeeded (Face)
07/07/2022 07:05,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1218,1:N authentication succeeded (Face)
07/07/2022 07:04,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
07/07/2022 07:03,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
07/07/2022 07:01,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82296,1:N authentication succeeded (Face)
07/07/2022 02:16,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
07/07/2022 01:59,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
