Fecha	Puertas	ID Dispositivo	Dispositivos	Grupo Usuario	Usuarios	Evento
25/01/2024 13:16		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1(Administrator)	Actualización Usuario exitoso
25/01/2024 13:16		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1(Administrator)	Actualización Usuario exitoso
25/01/2024 12:30		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	8	1:N Autenticación exitosa (Rostro)
25/01/2024 12:30		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	8	1:N Autenticación exitosa (Rostro)
25/01/2024 12:08		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1(Administrator)	Actualización Usuario exitoso
25/01/2024 12:08		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar conectado
25/01/2024 11:59		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	8	1:N Autenticación exitosa (Rostro)
25/01/2024 11:51		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	111	1:N Autenticación exitosa (Rostro)
25/01/2024 11:51		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	120	1:N Autenticación exitosa (Rostro)
25/01/2024 11:50		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	2	1:N Autenticación exitosa (Rostro)
25/01/2024 11:50		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	26	1:N Autenticación exitosa (Rostro)
25/01/2024 11:47		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	141	1:N Autenticación exitosa (Rostro)
25/01/2024 11:46		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	39	1:N Autenticación exitosa (Rostro)
25/01/2024 11:17		542361075	FaceStation 2 542361075 (192.168.1.220)			Autenticación fallida (Timeout)
25/01/2024 11:16		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	141	1:N Autenticación exitosa (Rostro)
25/01/2024 11:16		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	39	1:N Autenticación exitosa (Rostro)
25/01/2024 11:15		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar desconectado
25/01/2024 11:15		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	2	1:N Autenticación exitosa (Rostro)
25/01/2024 11:15		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	26	1:N Autenticación exitosa (Rostro)
25/01/2024 11:13		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	64	1:N Autenticación exitosa (Rostro)
25/01/2024 11:13		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	19	1:N Autenticación exitosa (Rostro)
25/01/2024 11:08		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	59	1:N Autenticación exitosa (Rostro)
25/01/2024 11:08		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	73	1:N Autenticación exitosa (Rostro)
25/01/2024 11:08		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	149	1:N Autenticación exitosa (Rostro)
25/01/2024 10:43		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	64	1:N Autenticación exitosa (Rostro)
25/01/2024 10:43		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	19	1:N Autenticación exitosa (Rostro)
25/01/2024 10:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	59	1:N Autenticación exitosa (Rostro)
25/01/2024 10:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	149	1:N Autenticación exitosa (Rostro)
25/01/2024 10:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	73	1:N Autenticación exitosa (Rostro)
25/01/2024 10:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	3	1:N Autenticación exitosa (Rostro)
25/01/2024 10:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	166	1:N Autenticación exitosa (Rostro)
25/01/2024 10:33		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	95	1:N Autenticación exitosa (Rostro)
25/01/2024 10:31		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	146	1:N Autenticación exitosa (Rostro)
25/01/2024 10:06		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	3	1:N Autenticación exitosa (Rostro)
25/01/2024 10:06		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	166	1:N Autenticación exitosa (Rostro)
25/01/2024 10:02		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	146	1:N Autenticación exitosa (Rostro)
25/01/2024 10:02		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	95	1:N Autenticación exitosa (Rostro)
25/01/2024 10:01		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	71	1:N Autenticación exitosa (Rostro)
25/01/2024 10:01		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	167	1:N Autenticación exitosa (Rostro)
25/01/2024 09:33		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	71	1:N Autenticación exitosa (Rostro)
25/01/2024 09:33		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	167	1:N Autenticación exitosa (Rostro)
25/01/2024 08:18		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1(Administrator)	Actualización Usuario exitoso
25/01/2024 08:18		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar conectado
25/01/2024 08:16		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar desconectado
25/01/2024 08:05		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	158	1:N Autenticación exitosa (Rostro)
