Date,Device ID,Device,User Group,User,Event
2024-04-28 23:46:59,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:44,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:43,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:40,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:39,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:36,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:36,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:33,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:32,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:29,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:28,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:25,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:25,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:22,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:21,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:18,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:17,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:15,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:14,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:11,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:10,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:03,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:46:03,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:46:00,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:59,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:56,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:55,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:52,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:52,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:49,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:48,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:42,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:42,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:39,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:38,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:35,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:33,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:30,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:30,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:27,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:26,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:23,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:23,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:20,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:20,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:17,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:15,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:13,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-04-28 23:45:10,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-04-28 23:45:08,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
