Date,Device ID,Device,User Group,User,Event
2024-05-26 19:30:37,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,131830,1:N authentication succeeded (Face)
2024-05-26 19:30:35,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,131830,1:N authentication succeeded (Face)
2024-05-26 19:30:32,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,131830,1:N authentication succeeded (Face)
2024-05-26 19:30:29,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,131830,1:N authentication succeeded (Face)
2024-05-26 19:30:22,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131830,1:N authentication succeeded (Face)
2024-05-26 19:30:20,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131830,1:N authentication succeeded (Face)
2024-05-26 19:30:17,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131830,1:N authentication succeeded (Face)
2024-05-26 19:30:12,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132136,1:N authentication succeeded (Face)
2024-05-26 19:30:10,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132136,1:N authentication succeeded (Face)
2024-05-26 19:30:07,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132136,1:N authentication succeeded (Face)
2024-05-26 19:30:04,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132136,1:N authentication succeeded (Face)
2024-05-26 14:22:47,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,1(Administrator),User update succeeded
2024-05-26 14:22:46,542185233,FaceStation 2 542185233 (192.168.5.203),,,BioStar 2 connected
2024-05-26 14:21:27,542185233,FaceStation 2 542185233 (192.168.5.203),,,BioStar 2 disconnected
2024-05-26 14:18:28,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-05-26 14:18:25,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network disconnected
2024-05-26 14:02:33,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,1(Administrator),User update succeeded
2024-05-26 14:02:26,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,1(Administrator),User update succeeded
2024-05-26 14:02:21,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,1(Administrator),User update succeeded
2024-05-26 14:02:16,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,1(Administrator),User update succeeded
2024-05-26 14:02:08,542185239,FaceStation 2 542185239 (192.168.5.200),All Users,1(Administrator),User update succeeded
2024-05-26 14:02:01,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,1(Administrator),User update succeeded
2024-05-26 14:01:52,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,1(Administrator),User update succeeded
2024-05-26 13:59:36,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,1(Administrator),User update succeeded
2024-05-26 13:59:29,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,1(Administrator),User update succeeded
2024-05-26 13:59:24,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,1(Administrator),User update succeeded
