Date,Device ID,Device,User Group,User,Event
2024-06-02 20:10:06,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131830,1:N authentication succeeded (Face)
2024-06-02 20:10:04,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131830,1:N authentication succeeded (Face)
2024-06-02 20:10:01,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131830,1:N authentication succeeded (Face)
2024-06-02 20:02:59,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132136,1:N authentication succeeded (Face)
2024-06-02 20:02:57,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132136,1:N authentication succeeded (Face)
2024-06-02 20:02:54,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132136,1:N authentication succeeded (Face)
2024-06-02 16:58:59,542185220,FaceStation 2 542185220 (192.168.5.202),,,Tamper off
2024-06-02 16:58:46,542185216,FaceStation 2 542185216 (192.168.5.201),,,Tamper off
2024-06-02 16:58:39,542185233,FaceStation 2 542185233 (192.168.5.203),,,Tamper off
2024-06-02 16:58:32,542185239,FaceStation 2 542185239 (192.168.5.200),,,Tamper on
2024-06-02 16:58:08,542340159,FaceStation 2 542340159 (192.168.5.204),,,Tamper off
2024-06-02 16:57:43,542185220,FaceStation 2 542185220 (192.168.5.202),,,Device started
2024-06-02 16:57:43,542185220,FaceStation 2 542185220 (192.168.5.202),,,Network connected
2024-06-02 16:57:34,542185216,FaceStation 2 542185216 (192.168.5.201),,,Device started
2024-06-02 16:57:34,542185216,FaceStation 2 542185216 (192.168.5.201),,,Network connected
2024-06-02 16:57:24,542185233,FaceStation 2 542185233 (192.168.5.203),,,Device started
2024-06-02 16:57:24,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-06-02 16:57:16,542185239,FaceStation 2 542185239 (192.168.5.200),,,Device started
2024-06-02 16:57:16,542185239,FaceStation 2 542185239 (192.168.5.200),,,Network connected
2024-06-02 16:56:54,542340159,FaceStation 2 542340159 (192.168.5.204),,,Device started
2024-06-02 16:56:54,542340159,FaceStation 2 542340159 (192.168.5.204),,,Network connected
2024-06-02 13:50:52,542185220,FaceStation 2 542185220 (192.168.5.202),,,Tamper off
2024-06-02 13:50:38,542185216,FaceStation 2 542185216 (192.168.5.201),,,Tamper off
2024-06-02 13:50:32,542185233,FaceStation 2 542185233 (192.168.5.203),,,Tamper off
2024-06-02 13:50:25,542451178,FaceStation 2 542451178 (192.168.5.206),,,Tamper off
2024-06-02 13:50:24,542185239,FaceStation 2 542185239 (192.168.5.200),,,Tamper on
2024-06-02 13:50:02,542451175,FaceStation 2 542451175 (192.168.5.205),,,Tamper off
2024-06-02 13:50:01,542340159,FaceStation 2 542340159 (192.168.5.204),,,Tamper off
2024-06-02 13:49:36,542185220,FaceStation 2 542185220 (192.168.5.202),,,Device started
2024-06-02 13:49:36,542185220,FaceStation 2 542185220 (192.168.5.202),,,Network connected
2024-06-02 13:49:26,542185216,FaceStation 2 542185216 (192.168.5.201),,,Device started
2024-06-02 13:49:26,542185216,FaceStation 2 542185216 (192.168.5.201),,,Network connected
2024-06-02 13:49:17,542185233,FaceStation 2 542185233 (192.168.5.203),,,Device started
2024-06-02 13:49:17,542185233,FaceStation 2 542185233 (192.168.5.203),,,Network connected
2024-06-02 13:49:11,542451178,FaceStation 2 542451178 (192.168.5.206),,,Device started
2024-06-02 13:49:11,542451178,FaceStation 2 542451178 (192.168.5.206),,,Network connected
2024-06-02 13:49:08,542185239,FaceStation 2 542185239 (192.168.5.200),,,Device started
2024-06-02 13:49:08,542185239,FaceStation 2 542185239 (192.168.5.200),,,Network connected
2024-06-02 13:48:48,542451175,FaceStation 2 542451175 (192.168.5.205),,,Device started
2024-06-02 13:48:48,542451175,FaceStation 2 542451175 (192.168.5.205),,,Network connected
2024-06-02 13:48:47,542340159,FaceStation 2 542340159 (192.168.5.204),,,Device started
