Date	Device ID	Device	User Group	User	Event
11/01/2026 19:57	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	89	1:N authentication succeeded (Face)
11/01/2026 09:28	542361075	FaceStation 2 542361075 (192.168.50.205)			Tamper off
11/01/2026 09:28	542361075	FaceStation 2 542361075 (192.168.50.205)			Device started
11/01/2026 09:28	542361075	FaceStation 2 542361075 (192.168.50.205)			Network connected
11/01/2026 08:10	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	89	1:N authentication succeeded (Face)
10/01/2026 20:30	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	281	1:N authentication succeeded (Face)
10/01/2026 20:30	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	107	1:N authentication succeeded (Face)
10/01/2026 20:27	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	284	1:N authentication succeeded (Face)
10/01/2026 20:27	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	30	1:N authentication succeeded (Face)
10/01/2026 20:27	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	271	1:N authentication succeeded (Face)
10/01/2026 20:27	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	70	1:N authentication succeeded (Face)
10/01/2026 20:27	542361075	FaceStation 2 542361075 (192.168.50.205)			Authentication failed (Timeout)
10/01/2026 15:39	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	63	1:N authentication succeeded (Face)
10/01/2026 15:31	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	226	1:N authentication succeeded (Face)
10/01/2026 15:30	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	239	1:N authentication succeeded (Face)
10/01/2026 15:30	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	262	1:N authentication succeeded (Face)
10/01/2026 15:30	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	73	1:N authentication succeeded (Face)
10/01/2026 15:30	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	241	1:N authentication succeeded (Face)
10/01/2026 15:30	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	230	1:N authentication succeeded (Face)
10/01/2026 15:29	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	271	1:N authentication succeeded (Face)
10/01/2026 15:28	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	276	1:N authentication succeeded (Face)
10/01/2026 15:28	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	281	1:N authentication succeeded (Face)
10/01/2026 15:28	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	107	1:N authentication succeeded (Face)
10/01/2026 15:27	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	30	1:N authentication succeeded (Face)
10/01/2026 15:27	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	284	1:N authentication succeeded (Face)
10/01/2026 15:27	542361075	FaceStation 2 542361075 (192.168.50.205)	All Users	70	1:N authentication succeeded (Face)
