Fecha,ID Dispositivo,Dispositivo,Grupo Usuario,Usuario,Evento
15/11/2021 07:34,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
16/11/2021 07:34,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
17/11/2021 07:34,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
18/11/2021 07:34,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
19/11/2021 07:34,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
15/11/2021 17:37,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
16/11/2021 17:37,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
17/11/2021 17:37,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
18/11/2021 17:37,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
19/11/2021 17:37,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,200006,1:N Autenticaci??n exitosa (Rostro)
